id,date,country,lat,lng,event,title,size
1,2019-12-01,Italy,41.00011727347648,11.392842952595291,COVID-19,COVID-19 Response in Italy,8
2,2019-12-01,South Korea,36.00998070468603,127.9626709786707,COVID-19,COVID-19 Response in South Korea,7
3,2019-12-03,Iran,33.82713071792714,49.77478095944637,COVID-19,COVID-19 Response in Iran,4
4,2019-12-03,Brazil,-15.778578847586552,-49.79385612126455,COVID-19,COVID-19 Response in Brazil,4
5,2019-12-05,China,40.93522946851907,115.03863726550756,COVID-19,COVID-19 Response in China,6
6,2019-12-05,France,48.26100206607197,1.0219179992471261,COVID-19,COVID-19 Response in France,5
7,2019-12-05,Iran,34.108841106079396,50.91970920254935,COVID-19,COVID-19 Response in Iran,5
8,2019-12-05,UK,52.88997746538984,0.3149041254675643,COVID-19,COVID-19 Response in UK,3
9,2019-12-05,Italy,42.81892714677527,12.644912365818803,COVID-19,COVID-19 Response in Italy,6
10,2019-12-07,Germany,53.81761865701198,13.874079009456985,COVID-19,COVID-19 Response in Germany,5
11,2019-12-07,UK,51.80940858102705,0.7182873448596939,COVID-19,COVID-19 Response in UK,3
13,2019-12-09,UK,50.61189441244037,0.44273777705760076,COVID-19,COVID-19 Response in UK,5
14,2019-12-09,Spain,39.050616388624334,-4.278917199089914,COVID-19,COVID-19 Response in Spain,8
12,2019-12-09,Australia,-33.87872911593941,150.56593466702108,COVID-19,COVID-19 Response in Australia,6
15,2019-12-11,South Korea,38.036524022667955,125.68455459279238,COVID-19,COVID-19 Response in South Korea,8
16,2019-12-11,Japan,34.67924370060571,139.54904084740446,COVID-19,COVID-19 Response in Japan,5
17,2019-12-11,Canada,47.35809340254638,-75.14000096058363,COVID-19,COVID-19 Response in Canada,7
18,2019-12-11,Spain,39.27846069588107,-4.402869062338713,COVID-19,COVID-19 Response in Spain,3
19,2019-12-13,Canada,44.661812192236326,-76.62903649609719,COVID-19,COVID-19 Response in Canada,4
20,2019-12-13,Italy,43.55254449674218,12.76872020591401,COVID-19,COVID-19 Response in Italy,8
21,2019-12-13,Australia,-36.04128847680609,149.72175466117952,COVID-19,COVID-19 Response in Australia,6
22,2019-12-15,USA,39.05590915866916,-76.01194475339096,COVID-19,COVID-19 Response in USA,6
23,2019-12-15,UK,53.091291534409905,-0.5023979794384109,COVID-19,COVID-19 Response in UK,4
24,2019-12-15,Mexico,21.389303111956643,-100.54667302043657,COVID-19,COVID-19 Response in Mexico,6
25,2019-12-15,China,38.26363764869517,114.58846550169895,COVID-19,COVID-19 Response in China,3
26,2019-12-15,Germany,51.11136527739304,12.039928006889802,COVID-19,COVID-19 Response in Germany,8
30,2019-12-17,Australia,-34.22560506937021,148.46070189212418,COVID-19,COVID-19 Response in Australia,5
29,2019-12-17,Brazil,-17.341793028065254,-46.36084619948356,COVID-19,COVID-19 Response in Brazil,5
31,2019-12-17,Mexico,19.139061002676417,-99.28510517468317,COVID-19,COVID-19 Response in Mexico,8
27,2019-12-17,Iran,37.68448552096039,51.516457380396545,COVID-19,COVID-19 Response in Iran,7
28,2019-12-17,Spain,41.84311880893799,-5.654075912228722,COVID-19,COVID-19 Response in Spain,8
32,2019-12-19,Germany,54.15051135737928,14.882074279347068,COVID-19,COVID-19 Response in Germany,5
33,2019-12-19,Australia,-33.93332260731013,149.13065152791054,COVID-19,COVID-19 Response in Australia,4
34,2019-12-19,USA,37.511357074198536,-75.9499567996994,COVID-19,COVID-19 Response in USA,7
35,2019-12-19,Mexico,21.21399899061401,-97.4102636775269,COVID-19,COVID-19 Response in Mexico,3
36,2019-12-21,France,50.41488751129273,3.7266621174447176,COVID-19,COVID-19 Response in France,5
37,2019-12-21,Italy,40.857809241352236,11.463486369788932,COVID-19,COVID-19 Response in Italy,7
39,2019-12-21,India,29.864093013680357,79.11193797470933,COVID-19,COVID-19 Response in India,7
38,2019-12-21,Spain,42.187797781191975,-5.3573861917284855,COVID-19,COVID-19 Response in Spain,6
40,2019-12-23,USA,40.68739471881996,-78.33949216410349,COVID-19,COVID-19 Response in USA,7
41,2019-12-23,Japan,37.18973216434103,139.39255176080354,COVID-19,COVID-19 Response in Japan,4
42,2019-12-23,France,50.61565397200871,3.421060786543222,COVID-19,COVID-19 Response in France,8
45,2019-12-25,Brazil,-16.90121065187377,-48.54765775141018,COVID-19,COVID-19 Response in Brazil,7
43,2019-12-25,South Korea,39.58059742664358,127.59951223055782,COVID-19,COVID-19 Response in South Korea,6
44,2019-12-25,UK,53.09845633857178,-0.294055434435481,COVID-19,COVID-19 Response in UK,4
48,2019-12-27,Italy,40.18342939955461,11.45201853747598,COVID-19,COVID-19 Response in Italy,8
46,2019-12-27,Iran,33.98397234403613,51.92441182908039,COVID-19,COVID-19 Response in Iran,4
47,2019-12-27,China,38.16960131244123,114.52565183221208,COVID-19,COVID-19 Response in China,5
49,2019-12-29,China,40.2048465988836,115.3719889695829,COVID-19,COVID-19 Response in China,6
50,2019-12-29,Germany,53.72998799106657,12.16163965744751,COVID-19,COVID-19 Response in Germany,3
51,2019-12-29,USA,39.53593099805865,-77.58280973364178,COVID-19,COVID-19 Response in USA,6
52,2019-12-29,South Korea,37.4680986721467,127.9163033978394,COVID-19,COVID-19 Response in South Korea,8
53,2019-12-29,Iran,36.31382195306317,51.98471900517993,COVID-19,COVID-19 Response in Iran,3
54,2019-12-31,South Korea,36.36636028856662,127.14514301564138,COVID-19,COVID-19 Response in South Korea,4
55,2019-12-31,India,28.287526559337618,76.31418057866776,COVID-19,COVID-19 Response in India,4
56,2019-12-31,Australia,-33.802056183717674,147.40153955349714,COVID-19,COVID-19 Response in Australia,7
57,2019-12-31,Spain,38.7916349128064,-3.091420424005912,COVID-19,COVID-19 Response in Spain,7
58,2019-12-31,China,41.24411034031981,118.27598502913901,COVID-19,COVID-19 Response in China,4
61,2020-01-02,Canada,44.4608122326886,-74.56371759220572,COVID-19,COVID-19 Response in Canada,6
59,2020-01-02,Brazil,-16.945010803203274,-48.295838829802186,COVID-19,COVID-19 Response in Brazil,3
60,2020-01-02,France,47.5585484856061,0.4086215134057056,COVID-19,COVID-19 Response in France,6
65,2020-01-04,Germany,50.72866109162993,13.736710377835886,COVID-19,COVID-19 Response in Germany,7
64,2020-01-04,Canada,46.34294871515617,-77.45616971409395,COVID-19,COVID-19 Response in Canada,5
63,2020-01-04,South Korea,36.78683130197826,128.87483745987663,COVID-19,COVID-19 Response in South Korea,7
62,2020-01-04,Brazil,-15.15251475219702,-47.95331435338268,COVID-19,COVID-19 Response in Brazil,4
66,2020-01-06,Italy,43.30537018137648,10.774085330815169,COVID-19,COVID-19 Response in Italy,3
67,2020-01-06,Germany,53.20085021441636,12.340815580003724,COVID-19,COVID-19 Response in Germany,3
68,2020-01-06,Spain,42.16638450891636,-3.4212983594472606,COVID-19,COVID-19 Response in Spain,7
69,2020-01-08,Iran,35.376899661343494,51.734689157164894,COVID-19,COVID-19 Response in Iran,7
70,2020-01-08,Spain,39.665479383906906,-4.656937217585469,COVID-19,COVID-19 Response in Spain,8
74,2020-01-10,USA,37.19304288439853,-78.14738275093184,COVID-19,COVID-19 Response in USA,5
73,2020-01-10,Brazil,-15.966857909525656,-45.90618223658223,COVID-19,COVID-19 Response in Brazil,3
72,2020-01-10,UK,53.216073326822055,1.6429371497792933,COVID-19,COVID-19 Response in UK,3
71,2020-01-10,China,40.58676089183989,115.59998831919505,COVID-19,COVID-19 Response in China,5
75,2020-01-12,Mexico,20.91708096993817,-99.62189164504446,COVID-19,COVID-19 Response in Mexico,4
76,2020-01-12,India,28.352738292030843,77.37287184904635,COVID-19,COVID-19 Response in India,5
77,2020-01-12,Spain,40.8467110629038,-1.751067745473983,COVID-19,COVID-19 Response in Spain,8
78,2020-01-14,Japan,35.91840912995871,141.42702415774428,COVID-19,COVID-19 Response in Japan,3
79,2020-01-14,Canada,47.15572001570841,-77.16283554242654,COVID-19,COVID-19 Response in Canada,3
81,2020-01-16,Germany,53.37044874855519,12.214389249309813,COVID-19,COVID-19 Response in Germany,8
80,2020-01-16,South Korea,36.22179163909996,126.12702508583158,COVID-19,COVID-19 Response in South Korea,4
82,2020-01-18,Germany,50.869193870850935,13.094303090254906,COVID-19,COVID-19 Response in Germany,5
83,2020-01-18,France,47.0763470471962,1.7342261544203526,COVID-19,COVID-19 Response in France,4
84,2020-01-18,UK,52.048453509205515,-1.0521789502626073,COVID-19,COVID-19 Response in UK,8
85,2020-01-18,Italy,41.6673420474434,13.322669787039963,COVID-19,COVID-19 Response in Italy,7
86,2020-01-20,Spain,42.18020375618656,-2.9359215049764944,COVID-19,COVID-19 Response in Spain,4
87,2020-01-20,Mexico,19.58236115682209,-97.76161992045593,COVID-19,COVID-19 Response in Mexico,7
88,2020-01-22,Brazil,-16.566966600279464,-46.30407404502964,COVID-19,COVID-19 Response in Brazil,3
89,2020-01-22,USA,40.4956985461059,-78.15969384664098,COVID-19,COVID-19 Response in USA,4
90,2020-01-22,Italy,42.56773364254217,11.914714538458473,COVID-19,COVID-19 Response in Italy,7
91,2020-01-24,Iran,37.60482413172385,52.64308687976158,COVID-19,COVID-19 Response in Iran,6
92,2020-01-24,South Korea,35.699145447592755,127.94625788702032,COVID-19,COVID-19 Response in South Korea,5
93,2020-01-24,USA,40.02954598459053,-77.35314733379379,COVID-19,COVID-19 Response in USA,8
94,2020-01-24,China,41.35625611350112,117.64299726629756,COVID-19,COVID-19 Response in China,5
95,2020-01-24,Australia,-36.66320862807707,149.90511275255963,COVID-19,COVID-19 Response in Australia,6
97,2020-01-26,France,48.29863369778367,3.682145523886248,COVID-19,COVID-19 Response in France,4
96,2020-01-26,Canada,44.289734870182656,-74.43365357761229,COVID-19,COVID-19 Response in Canada,6
98,2020-01-28,Italy,41.49386391425913,11.614412244092016,COVID-19,COVID-19 Response in Italy,3
99,2020-01-28,Japan,37.56755641619345,138.81649997088746,COVID-19,COVID-19 Response in Japan,8
100,2020-01-28,China,39.93762270211215,117.11807247344106,COVID-19,COVID-19 Response in China,7
101,2020-01-30,Italy,42.222358934954826,14.434202291532348,COVID-19,COVID-19 Response in Italy,3
102,2020-01-30,Spain,38.83361018885884,-3.9617449657414228,COVID-19,COVID-19 Response in Spain,8
103,2020-01-30,UK,52.64571271281473,-0.35442446451756815,COVID-19,COVID-19 Response in UK,7
104,2020-01-30,USA,37.36258313611732,-75.4019810683552,COVID-19,COVID-19 Response in USA,4
105,2020-02-01,Italy,41.97968139426634,13.726043478800415,COVID-19,COVID-19 Response in Italy,8
106,2020-02-01,South Korea,38.47771999657938,127.9678003113579,COVID-19,COVID-19 Response in South Korea,8
107,2020-02-01,Brazil,-17.011859483593064,-48.174810401500054,COVID-19,COVID-19 Response in Brazil,8
108,2020-02-01,Mexico,21.08308342487216,-98.60737836021435,COVID-19,COVID-19 Response in Mexico,8
109,2020-02-03,South Korea,37.62849001614108,127.66757161642292,COVID-19,COVID-19 Response in South Korea,5
110,2020-02-03,UK,51.1096015482309,-0.9173791898962119,COVID-19,COVID-19 Response in UK,4
113,2020-02-05,Mexico,18.615499797073415,-100.25926926046942,COVID-19,COVID-19 Response in Mexico,7
112,2020-02-05,Japan,35.97642101946324,139.32430067503265,COVID-19,COVID-19 Response in Japan,3
111,2020-02-05,Brazil,-15.090728218909069,-46.288777817069665,COVID-19,COVID-19 Response in Brazil,7
114,2020-02-07,France,47.7548056039564,2.292744743637305,COVID-19,COVID-19 Response in France,8
115,2020-02-07,Mexico,18.07876558479222,-100.76081785309951,COVID-19,COVID-19 Response in Mexico,7
116,2020-02-07,Canada,46.05541534521999,-75.2229567785505,COVID-19,COVID-19 Response in Canada,3
117,2020-02-07,Japan,36.97369385814666,140.70455255016293,COVID-19,COVID-19 Response in Japan,8
118,2020-02-09,China,37.9977015509073,115.3793701763134,COVID-19,COVID-19 Response in China,6
119,2020-02-09,Australia,-34.85490410775728,150.17395735600078,COVID-19,COVID-19 Response in Australia,6
120,2020-02-09,Mexico,19.057764043990876,-98.58093847704914,COVID-19,COVID-19 Response in Mexico,4
121,2020-02-09,USA,39.77338366199595,-77.464086130429,COVID-19,COVID-19 Response in USA,6
122,2020-02-11,USA,36.92217927255213,-75.9961420935261,COVID-19,COVID-19 Response in USA,3
123,2020-02-11,Japan,36.8136816270693,138.57536454724928,COVID-19,COVID-19 Response in Japan,8
124,2020-02-11,South Korea,37.67183100177496,125.20087354056257,COVID-19,COVID-19 Response in South Korea,4
125,2020-02-13,France,50.10566640688906,3.0703109303454124,COVID-19,COVID-19 Response in France,7
126,2020-02-13,USA,39.28180927387768,-75.19984156622738,COVID-19,COVID-19 Response in USA,6
131,2020-02-15,Australia,-36.02116172632495,149.26060889007383,COVID-19,COVID-19 Response in Australia,4
130,2020-02-15,USA,39.75417945044423,-78.06202568794146,COVID-19,COVID-19 Response in USA,5
127,2020-02-15,Canada,45.20027902898763,-74.69289285399796,COVID-19,COVID-19 Response in Canada,8
128,2020-02-15,Germany,51.60924541252296,14.510699341335886,COVID-19,COVID-19 Response in Germany,6
129,2020-02-15,France,49.406993747927125,1.498389787670153,COVID-19,COVID-19 Response in France,3
132,2020-02-17,China,38.51122106630859,115.25581150842396,COVID-19,COVID-19 Response in China,6
